time,open,high,low,close,volume,ticker,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,target,sentiment_score
2022-08-12,51960,52450,51960,52450,1243100,FPT,56.361551581682,107.50925378232932,186.93159997958455,-79.42234619725522,51954.85428272104,52226.0,52497.14571727896,1.0383552915366279,0.9130620285061422,1,-0.23753372935649741
2022-08-15,52500,54030,52500,53910,3085000,FPT,66.08621799753521,259.6120112382705,271.22748594842056,-11.615474710150075,51071.557094219774,52580.0,54088.442905780226,5.737705993838822,0.9408519523356011,0,-0.0208665394308472
2022-08-16,53910,54190,53410,53780,1382800,FPT,64.70357870807644,365.451926495909,301.65392096484726,63.79800553106175,51108.91690335391,52884.0,54659.08309664609,6.7131196454356425,0.7523825509050633,0,-0.0563449805766885
2022-08-17,53970,54030,53360,53540,1506200,FPT,62.11965547831368,425.06494356105395,289.01355042399376,136.0513931370602,51540.50993227594,53164.0,54787.49006772406,6.107478999789551,0.6157999077035031,0,-0.12977392201740737
2022-08-18,53300,54390,53300,53540,2552900,FPT,62.119655478313696,466.92625387065345,264.69988858687464,202.22636528377885,52287.920417964815,53444.0,54600.079582035185,4.326321315901448,0.5415196330303662,-1,-0.1242717480199713
2022-08-19,53360,53660,52260,52680,1957600,FPT,53.27761225554193,425.798491248599,178.85770077185612,246.9407904767429,52530.00000000071,53490.0,54449.99999999929,3.589455973076414,0.07812499999968665,0,0.23696550742160058
2022-08-22,52500,52930,52090,52620,1634000,FPT,52.713863077328014,383.9371559606734,109.59709238714436,274.34006357352905,52150.66748869802,53232.0,54313.33251130198,4.0627160779305,0.21701581446805873,0,0.16994324526482135
2022-08-23,52200,52740,52200,52740,1085700,FPT,53.767529046231914,356.3371108666033,65.59763783445942,290.7394730321439,52078.10359975383,53024.0,53969.89640024617,3.5678047685809164,0.34987785135555644,0,0.07056165198501012
2022-08-24,53060,53240,52800,52860,1008000,FPT,54.85096263734702,340.22497170895076,39.58839894144546,300.6365727675053,52137.74670943829,52888.0,53638.25329056171,2.8371399582578722,0.4813396353256668,0,0.11318001178979711
2022-08-25,52860,53170,52740,52930,1143900,FPT,55.505988177876226,329.30833878817793,22.937412816538085,306.37092597163985,52510.81379347879,52766.0,53021.18620652121,0.9672372608164792,0.8213339824195551,1,0.04273348124508685
2022-08-26,53000,53860,52930,53480,1936600,FPT,60.370883122969204,360.87726355066843,43.605070063222854,317.2721934874456,52263.03695427371,52926.0,53588.96304572629,2.5052452319324723,0.9178211768900943,-1,-0.05715236761637852
2022-08-29,53360,53360,51960,53060,2228000,FPT,55.39033462307747,347.9939167001867,24.577378570192877,323.4165381299938,52443.807050202595,53014.0,53584.192949797405,2.1511032927053426,0.5403372227035991,0,0.050531804882774256
2022-08-30,53060,53360,52740,53000,1153200,FPT,54.69612149915851,329.1480590059364,4.585216700754017,324.56284230518236,52579.461204014864,53066.0,53552.538795985136,1.8337119661747106,0.43217395966711736,0,0.03392911154031935
